,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Luciano_Leilua_Dragons,402,14,241,17,Interchange,30.0,0,0,0,0,0,,0,23,8,68,0,18,0,0,0,0,2,7,7,3.33,0,0,0,0,1,2,9,0.25,1.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.1,,10
Jahrome_Hughes_Storm,178,7,242,1,Fullback,80.0,4,1,0,0,0,,0,40,17,184,80,35,0,0,0,0,4,0,12,3.0,2,29,0,1,1,14,28,0.82,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,1
Suliasi_Vunivalu_Storm,185,7,242,2,Winger,80.0,0,0,0,0,0,,0,5,13,110,77,15,0,0,0,0,0,0,13,2.91,1,5,0,0,0,1,18,0.08,0.545,6,5,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,80.0,,2
Will_Chambers_Storm,187,7,242,3,Centre,80.0,0,0,0,0,0,,0,10,11,93,0,18,0,0,0,0,0,0,8,3.73,3,24,0,0,0,2,13,0.18,0.727,8,2,1,0,0,1,28,0,0,1,0,0,0,2,0,0,0,0,0,0,80.0,,3
Marion_Seve_Storm,181,7,242,17,Centre,80.0,0,0,0,0,0,,0,38,10,109,7,29,0,0,0,0,1,0,9,3.0,1,17,0,1,0,0,12,0,0.926,25,1,1,0,1,1,20,0,0,1,0,0,1,1,0,0,0,0,0,0,80.0,,3
Josh_Addo-carr_Storm,179,7,242,5,Winger,80.0,0,0,0,0,0,,0,48,16,170,29,49,0,0,1,0,7,1,15,3.34,1,13,0,0,0,2,17,0.13,1.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,2
Cameron_Munster_Storm,175,7,242,6,Five-Eighth,80.0,8,1,1,2,1,0.667,0,76,16,125,0,17,0,0,0,0,8,0,7,3.66,1,1,0,0,5,33,51,2.06,0.857,24,3,1,0,1,7,152,1,1,3,0,1,2,0,0,0,0,0,0,0,80.0,,4
Brodie_Croft_Storm,174,7,242,7,Halfback,80.0,1,0,0,0,0,,1,53,6,42,0,5,0,0,0,0,3,0,5,3.3,0,0,0,0,2,18,34,3,0.92,23,1,1,0,1,10,267,0,1,1,0,3,0,0,0,0,0,0,0,0,80.0,,5
Jesse_Bromwich_Storm,164,7,242,8,Prop,53.0,0,0,0,0,0,,0,41,13,121,25,24,0,0,0,0,3,10,11,3.56,0,0,0,0,0,6,18,0.46,0.917,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.35,23.46,6
Cameron_Smith_Storm,159,7,242,9,Hooker,80.0,0,0,0,0,0,,0,74,12,81,0,17,0,0,1,0,3,2,4,2.91,8,61,0,1,12,110,117,9.17,0.938,45,0,3,1,0,4,60,2,0,3,0,0,0,0,0,0,1,0,0,0,80.0,,7
Christian_Welch_Storm,160,7,242,15,Prop,30.0,0,0,0,0,0,,0,34,12,80,8,13,0,0,0,0,3,10,9,3.67,0,0,0,1,0,1,12,0.08,0.808,21,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.13,7.55,6
Felise_Kaufusi_Storm,162,7,242,11,2nd Row,80.0,0,0,0,0,0,,0,46,10,87,0,25,0,0,0,0,1,10,9,2.38,0,0,0,1,0,4,14,0.4,0.892,33,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,8
Kenneath_Bromwich_Storm,168,7,242,12,2nd Row,80.0,0,0,0,0,0,,0,45,12,84,0,18,0,0,0,0,3,12,12,3.56,0,0,1,0,0,4,18,0.33,0.854,35,3,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,8
Dale_Finucane_Storm,161,7,242,13,Lock,61.0,0,0,0,0,0,,0,32,9,85,0,31,0,0,0,0,1,9,9,3.82,0,0,0,0,0,2,11,0.22,0.844,27,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.02,29.14,9
Nelson_Asofa-solomona_Storm,169,7,242,10,Interchange,36.0,0,0,0,0,0,,0,30,11,97,0,33,0,0,0,0,2,11,9,3.3,0,0,0,0,0,2,13,0.18,0.84,21,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,30.33,5.14,10
Brandon_Smith_Storm,158,7,242,14,Interchange,36.0,0,0,0,0,0,,0,23,6,60,0,19,0,0,0,0,0,6,6,3.55,0,0,0,0,0,2,8,0.33,0.767,23,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35.55,,10
Tui_Kamikamica_Storm,172,7,242,16,Interchange,24.0,0,0,0,0,0,,0,22,7,63,16,10,0,0,0,0,0,5,6,3.91,0,0,0,0,0,3,10,0.43,1.0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,24.12,,10
Ryan_Papenhuyzen_Storm,182,7,242,21,Interchange,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10
